Day,Month,Hour,Load [Wh],Hour,,,,,,Day Hour,Day,Month,Hour,Load
1,1,00:15,74.0250,0,,,,,,01/01/2021 00:00,1,1,0,0.2961
1,1,00:30,74.0250,0,,,,,,01/01/2021 01:00,1,1,1,0.2876
1,1,00:45,74.0250,0,,,,,,01/01/2021 02:00,1,1,2,0.4015
1,1,00:00,74.0250,0,,,,,,01/01/2021 03:00,1,1,3,0.2565
1,1,01:15,71.9000,1,,,,,,01/01/2021 04:00,1,1,4,0.4854
1,1,01:30,71.9000,1,,,,,,01/01/2021 05:00,1,1,5,0.4697
1,1,01:45,71.9000,1,,,,,,01/01/2021 06:00,1,1,6,0.3596
1,1,01:00,71.9000,1,,,,,,01/01/2021 07:00,1,1,7,0.7279
1,1,02:15,100.3750,2,,,,,,01/01/2021 08:00,1,1,8,1.2755
1,1,02:30,100.3750,2,,,,,,01/01/2021 09:00,1,1,9,1.4517
1,1,02:45,100.3750,2,,,,,,01/01/2021 10:00,1,1,10,1.214
1,1,02:00,100.3750,2,,,,,,01/01/2021 11:00,1,1,11,1.5236
1,1,03:15,64.1250,3,,,,,,01/01/2021 12:00,1,1,12,1.469
1,1,03:30,64.1250,3,,,,,,01/01/2021 13:00,1,1,13,2.9865
1,1,03:45,64.1250,3,,,,,,01/01/2021 14:00,1,1,14,2.0535
1,1,03:00,64.1250,3,,,,,,01/01/2021 15:00,1,1,15,1.3646
1,1,04:15,121.3500,4,,,,,,01/01/2021 16:00,1,1,16,2.1428
1,1,04:30,121.3500,4,,,,,,01/01/2021 17:00,1,1,17,0.8998
1,1,04:45,121.3500,4,,,,,,01/01/2021 18:00,1,1,18,0.9019
1,1,04:00,121.3500,4,,,,,,01/01/2021 19:00,1,1,19,0.7753
1,1,05:15,117.4250,5,,,,,,01/01/2021 20:00,1,1,20,0.3962
1,1,05:30,117.4250,5,,,,,,01/01/2021 21:00,1,1,21,0.413
1,1,05:45,117.4250,5,,,,,,01/01/2021 22:00,1,1,22,0.3116
1,1,05:00,117.4250,5,,,,,,01/01/2021 23:00,1,1,23,0.3366
1,1,06:15,89.9000,6,,,,,,02/01/2021 00:00,2,1,0,0.2846
1,1,06:30,89.9000,6,,,,,,02/01/2021 01:00,2,1,1,0.2254
1,1,06:45,89.9000,6,,,,,,02/01/2021 02:00,2,1,2,0.0788
1,1,06:00,89.9000,6,,,,,,02/01/2021 03:00,2,1,3,0.1752
1,1,07:15,181.9750,7,,,,,,02/01/2021 04:00,2,1,4,0.1772
1,1,07:30,181.9750,7,,,,,,02/01/2021 05:00,2,1,5,0.2077
1,1,07:45,181.9750,7,,,,,,02/01/2021 06:00,2,1,6,0.1697
1,1,07:00,181.9750,7,,,,,,02/01/2021 07:00,2,1,7,0.4452
1,1,08:15,318.8750,8,,,,,,02/01/2021 08:00,2,1,8,0.7424
1,1,08:30,318.8750,8,,,,,,02/01/2021 09:00,2,1,9,0.7548
1,1,08:45,318.8750,8,,,,,,02/01/2021 10:00,2,1,10,0.5692
1,1,08:00,318.8750,8,,,,,,02/01/2021 11:00,2,1,11,0.6715
1,1,09:15,362.9250,9,,,,,,02/01/2021 12:00,2,1,12,0.8947
1,1,09:30,362.9250,9,,,,,,02/01/2021 13:00,2,1,13,2.3229
1,1,09:45,362.9250,9,,,,,,02/01/2021 14:00,2,1,14,1.7087
1,1,09:00,362.9250,9,,,,,,02/01/2021 15:00,2,1,15,1.2489
1,1,10:15,303.5000,10,,,,,,02/01/2021 16:00,2,1,16,1.4697
1,1,10:30,303.5000,10,,,,,,02/01/2021 17:00,2,1,17,0.8382
1,1,10:45,303.5000,10,,,,,,02/01/2021 18:00,2,1,18,0.3613
1,1,10:00,303.5000,10,,,,,,02/01/2021 19:00,2,1,19,0.4248
1,1,11:15,380.9000,11,,,,,,02/01/2021 20:00,2,1,20,0.2334
1,1,11:30,380.9000,11,,,,,,02/01/2021 21:00,2,1,21,0.1525
1,1,11:45,380.9000,11,,,,,,02/01/2021 22:00,2,1,22,0.1692
1,1,11:00,380.9000,11,,,,,,02/01/2021 23:00,2,1,23,0.2696
1,1,12:15,367.2500,12,,,,,,03/01/2021 00:00,3,1,0,0.3717
1,1,12:30,367.2500,12,,,,,,03/01/2021 01:00,3,1,1,0.2783
1,1,12:45,367.2500,12,,,,,,03/01/2021 02:00,3,1,2,0.2949
1,1,12:00,367.2500,12,,,,,,03/01/2021 03:00,3,1,3,0.2218
1,1,13:15,746.6250,13,,,,,,03/01/2021 04:00,3,1,4,0.3717
1,1,13:30,746.6250,13,,,,,,03/01/2021 05:00,3,1,5,0.4255
1,1,13:45,746.6250,13,,,,,,03/01/2021 06:00,3,1,6,0.3285
1,1,13:00,746.6250,13,,,,,,03/01/2021 07:00,3,1,7,0.5241
1,1,14:15,513.3750,14,,,,,,03/01/2021 08:00,3,1,8,1.2004
1,1,14:30,513.3750,14,,,,,,03/01/2021 09:00,3,1,9,1.2753
1,1,14:45,513.3750,14,,,,,,03/01/2021 10:00,3,1,10,1.1773
1,1,14:00,513.3750,14,,,,,,03/01/2021 11:00,3,1,11,1.5471
1,1,15:15,341.1500,15,,,,,,03/01/2021 12:00,3,1,12,1.0999
1,1,15:30,341.1500,15,,,,,,03/01/2021 13:00,3,1,13,2.5442
1,1,15:45,341.1500,15,,,,,,03/01/2021 14:00,3,1,14,1.777
1,1,15:00,341.1500,15,,,,,,03/01/2021 15:00,3,1,15,2.1371
1,1,16:15,535.7000,16,,,,,,03/01/2021 16:00,3,1,16,2.051
1,1,16:30,535.7000,16,,,,,,03/01/2021 17:00,3,1,17,1.4008
1,1,16:45,535.7000,16,,,,,,03/01/2021 18:00,3,1,18,0.876
1,1,16:00,535.7000,16,,,,,,03/01/2021 19:00,3,1,19,0.5048
1,1,17:15,224.9500,17,,,,,,03/01/2021 20:00,3,1,20,0.3402
1,1,17:30,224.9500,17,,,,,,03/01/2021 21:00,3,1,21,0.3477
1,1,17:45,224.9500,17,,,,,,03/01/2021 22:00,3,1,22,0.436
1,1,17:00,224.9500,17,,,,,,03/01/2021 23:00,3,1,23,0.3771
1,1,18:15,225.4750,18,,,,,,04/01/2021 00:00,4,1,0,0.2701
1,1,18:30,225.4750,18,,,,,,04/01/2021 01:00,4,1,1,0.3809
1,1,18:45,225.4750,18,,,,,,04/01/2021 02:00,4,1,2,0.3604
1,1,18:00,225.4750,18,,,,,,04/01/2021 03:00,4,1,3,0.136
1,1,19:15,193.8250,19,,,,,,04/01/2021 04:00,4,1,4,0.2305
1,1,19:30,193.8250,19,,,,,,04/01/2021 05:00,4,1,5,0.2908
1,1,19:45,193.8250,19,,,,,,04/01/2021 06:00,4,1,6,0.3334
1,1,19:00,193.8250,19,,,,,,04/01/2021 07:00,4,1,7,0.4377
1,1,20:15,99.0500,20,,,,,,04/01/2021 08:00,4,1,8,0.8453
1,1,20:30,99.0500,20,,,,,,04/01/2021 09:00,4,1,9,0.782
1,1,20:45,99.0500,20,,,,,,04/01/2021 10:00,4,1,10,1.4979
1,1,20:00,99.0500,20,,,,,,04/01/2021 11:00,4,1,11,1.1234
1,1,21:15,103.2500,21,,,,,,04/01/2021 12:00,4,1,12,0.914
1,1,21:30,103.2500,21,,,,,,04/01/2021 13:00,4,1,13,2.316
1,1,21:45,103.2500,21,,,,,,04/01/2021 14:00,4,1,14,1.857
1,1,21:00,103.2500,21,,,,,,04/01/2021 15:00,4,1,15,1.5073
1,1,22:15,77.9000,22,,,,,,04/01/2021 16:00,4,1,16,1.0885
1,1,22:30,77.9000,22,,,,,,04/01/2021 17:00,4,1,17,0.7693
1,1,22:45,77.9000,22,,,,,,04/01/2021 18:00,4,1,18,0.8321
1,1,22:00,77.9000,22,,,,,,04/01/2021 19:00,4,1,19,0.6035
1,1,23:15,84.1500,23,,,,,,04/01/2021 20:00,4,1,20,0.2434
1,1,23:30,84.1500,23,,,,,,04/01/2021 21:00,4,1,21,0.2983
1,1,23:45,84.1500,23,,,,,,04/01/2021 22:00,4,1,22,0.3186
1,1,23:00,84.1500,23,,,,,,04/01/2021 23:00,4,1,23,0.3188
2,1,00:15,71.1500,0,,,,,,05/01/2021 00:00,5,1,0,0.1952
2,1,00:30,71.1500,0,,,,,,05/01/2021 01:00,5,1,1,0.2531
2,1,00:45,71.1500,0,,,,,,05/01/2021 02:00,5,1,2,0.2302
2,1,00:00,71.1500,0,,,,,,05/01/2021 03:00,5,1,3,0.1911
2,1,01:15,56.3500,1,,,,,,05/01/2021 04:00,5,1,4,0.2131
2,1,01:30,56.3500,1,,,,,,05/01/2021 05:00,5,1,5,0.3375
2,1,01:45,56.3500,1,,,,,,05/01/2021 06:00,5,1,6,0.2152
2,1,01:00,56.3500,1,,,,,,05/01/2021 07:00,5,1,7,0.3059
2,1,02:15,19.7000,2,,,,,,05/01/2021 08:00,5,1,8,0.8909
2,1,02:30,19.7000,2,,,,,,05/01/2021 09:00,5,1,9,0.8757
2,1,02:45,19.7000,2,,,,,,05/01/2021 10:00,5,1,10,0.8163
2,1,02:00,19.7000,2,,,,,,05/01/2021 11:00,5,1,11,0.712
2,1,03:15,43.8000,3,,,,,,05/01/2021 12:00,5,1,12,0.5088
2,1,03:30,43.8000,3,,,,,,05/01/2021 13:00,5,1,13,2.465
2,1,03:45,43.8000,3,,,,,,05/01/2021 14:00,5,1,14,1.0667
2,1,03:00,43.8000,3,,,,,,05/01/2021 15:00,5,1,15,2.064
2,1,04:15,44.3000,4,,,,,,05/01/2021 16:00,5,1,16,0.9052
2,1,04:30,44.3000,4,,,,,,05/01/2021 17:00,5,1,17,0.7089
2,1,04:45,44.3000,4,,,,,,05/01/2021 18:00,5,1,18,0.4898
2,1,04:00,44.3000,4,,,,,,05/01/2021 19:00,5,1,19,0.4667
2,1,05:15,51.9250,5,,,,,,05/01/2021 20:00,5,1,20,0.2166
2,1,05:30,51.9250,5,,,,,,05/01/2021 21:00,5,1,21,0.1493
2,1,05:45,51.9250,5,,,,,,05/01/2021 22:00,5,1,22,0.2439
2,1,05:00,51.9250,5,,,,,,05/01/2021 23:00,5,1,23,0.2633
2,1,06:15,42.4250,6,,,,,,06/01/2021 00:00,6,1,0,0.3133
2,1,06:30,42.4250,6,,,,,,06/01/2021 01:00,6,1,1,0.2601
2,1,06:45,42.4250,6,,,,,,06/01/2021 02:00,6,1,2,0.2869
2,1,06:00,42.4250,6,,,,,,06/01/2021 03:00,6,1,3,0.111
2,1,07:15,111.3000,7,,,,,,06/01/2021 04:00,6,1,4,0.3809
2,1,07:30,111.3000,7,,,,,,06/01/2021 05:00,6,1,5,0.3285
2,1,07:45,111.3000,7,,,,,,06/01/2021 06:00,6,1,6,0.3113
2,1,07:00,111.3000,7,,,,,,06/01/2021 07:00,6,1,7,0.4464
2,1,08:15,185.6000,8,,,,,,06/01/2021 08:00,6,1,8,0.6537
2,1,08:30,185.6000,8,,,,,,06/01/2021 09:00,6,1,9,0.7017
2,1,08:45,185.6000,8,,,,,,06/01/2021 10:00,6,1,10,0.9407
2,1,08:00,185.6000,8,,,,,,06/01/2021 11:00,6,1,11,0.6882
