Day,Month,Hour end,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI [Wh/m2],BHI,DHI,BNI,Reliability
1,1,00:15,0,0,0,0,0,0,0,0,0,1
1,1,00:30,0,0,0,0,0,0,0,0,0,1
1,1,00:45,0,0,0,0,0,0,0,0,0,1
1,1,00:00,0,0,0,0,0,0,0,0,0,1
1,1,01:15,0,0,0,0,0,0,0,0,0,1
1,1,01:30,0,0,0,0,0,0,0,0,0,1
1,1,01:45,0,0,0,0,0,0,0,0,0,1
1,1,01:00,0,0,0,0,0,0,0,0,0,1
1,1,02:15,0,0,0,0,0,0,0,0,0,1
1,1,02:30,0,0,0,0,0,0,0,0,0,1
1,1,02:45,0,0,0,0,0,0,0,0,0,1
1,1,02:00,0,0,0,0,0,0,0,0,0,1
1,1,03:15,0,0,0,0,0,0,0,0,0,1
1,1,03:30,0,0,0,0,0,0,0,0,0,1
1,1,03:45,0,0,0,0,0,0,0,0,0,1
1,1,03:00,0,0,0,0,0,0,0,0,0,1
1,1,04:15,0,0,0,0,0,0,0,0,0,1
1,1,04:30,0,0,0,0,0,0,0,0,0,1
1,1,04:45,0,0,0,0,0,0,0,0,0,1
1,1,04:00,0,0,0,0,0,0,0,0,0,1
1,1,05:15,0,0,0,0,0,0,0,0,0,1
1,1,05:30,0,0,0,0,0,0,0,0,0,1
1,1,05:45,0,0,0,0,0,0,0,0,0,1
1,1,05:00,0,0,0,0,0,0,0,0,0,1
1,1,06:15,0,0,0,0,0,0,0,0,0,1
1,1,06:30,0,0,0,0,0,0,0,0,0,1
1,1,06:45,0,0,0,0,0,0,0,0,0,1
1,1,06:00,0,0,0,0,0,0,0,0,0,1
1,1,07:15,0,0,0,0,0,0,0,0,0,1
1,1,07:30,1.8166,0.46736,0.03608,0.43124,0,0.2231,0,0.2231,0,0.5333
1,1,07:45,14.49864,5.02928,1.45602,3.57328,32.05162,2.4865,0.0253,2.46118,0.43862,0.8
1,1,07:00,28.5835,12.5025,5.64432,6.8582,68.22558,8.71638,1.1634,7.55298,13.39352,1
1,1,08:15,42.15694,21.23298,11.61128,9.62172,96.29626,16.07042,6.37,9.75678,51.93832,1
1,1,08:30,55.16086,30.4674,18.56724,11.90018,118.09976,24.70086,14.60996,10.30838,92.60262,1
1,1,08:45,67.53958,39.78564,25.99932,13.78628,135.25616,33.16844,20.9227,12.57882,108.90802,1
1,1,08:00,79.24014,48.93198,33.56482,15.36718,148.93262,40.54602,25.836,14.77126,114.71404,1
1,1,09:15,90.21248,57.72266,40.98032,16.74238,159.78212,45.98804,28.30348,17.68458,110.44686,1
1,1,09:30,100.40964,66.03392,48.06796,17.96594,168.4187,52.11318,32.1921,19.92106,112.7123,1
1,1,09:45,109.7879,73.7838,54.74522,19.03858,175.4515,61.06216,37.80826,23.25386,121.03174,1
1,1,09:00,118.30722,80.89632,60.9158,19.98052,181.18396,66.54512,42.7983,23.74686,127.32308,1
1,1,10:15,125.93108,87.30954,66.50348,20.80604,185.8388,70.42414,45.64362,24.78056,127.52764,1
1,1,10:30,132.62678,92.97278,71.44736,21.52544,189.58148,75.65222,49.87078,25.7814,132.29238,1
1,1,10:45,138.3658,97.84372,75.69668,22.14702,192.53072,80.62294,54.42714,26.19578,138.39788,1
1,1,10:00,143.12348,101.88812,79.21126,22.67684,194.77592,83.8667,57.10666,26.76004,140.39996,1
1,1,11:15,146.87946,105.07884,81.9595,23.11934,196.38226,84.4428,56.92742,27.51536,136.37964,1
1,1,11:30,149.61768,107.39522,83.91778,23.47746,197.39572,85.65768,58.85992,26.7978,138.41402,1
1,1,11:45,151.3264,108.82332,85.07012,23.7532,197.84716,87.7459,60.7723,26.9736,141.29992,1
1,1,11:00,151.99832,109.35398,85.4125,23.9415,197.76494,89.842,61.96552,27.87644,143.43694,1
1,1,12:15,151.63056,108.97036,84.9338,24.03656,197.13242,90.13194,61.7253,28.4066,143.22308,1
1,1,12:30,150.22472,107.67428,83.63594,24.03836,195.93476,93.3393,65.6837,27.65558,153.86788,0.84
1,1,12:45,147.78676,105.48682,81.53746,23.94936,194.16692,92.83722,67.11898,25.71824,159.7874,0.96
